year,state,age,gender,race,voter_registration
2020,Alabama,53,Male,200,1.0
2020,Alabama,46,Female,100,0.0
2020,Alabama,66,Female,100,0.0
2020,Alabama,54,Male,100,1.0
2020,Alabama,73,Female,100,0.0
2020,Alabama,30,Male,200,0.0
2020,Alabama,34,Male,100,0.0
2020,Alabama,27,Female,100,0.0
2020,Alabama,19,Male,100,1.0
2020,Alabama,33,Female,100,1.0
2020,Alabama,27,Male,100,1.0
2020,Alabama,32,Female,100,0.0
2020,Alabama,37,Male,100,0.0
2020,Alabama,23,Male,100,1.0
2020,Alabama,33,Female,100,0.0
2020,Alabama,49,Male,100,1.0
2020,Alabama,47,Female,100,1.0
2020,Alabama,33,Male,100,0.0
2020,Alabama,57,Male,100,0.0
2020,Alabama,62,Male,100,0.0
2020,Alabama,79,Male,100,0.0
2020,Alabama,42,Male,100,1.0
2020,Alabama,60,Female,100,1.0
2020,Alabama,65,Male,100,1.0
2020,Alabama,51,Female,100,1.0
2020,Alabama,37,Male,100,0.0
2020,Alabama,64,Male,100,0.0
2020,Alabama,60,Female,100,0.0
2020,Alabama,63,Male,100,1.0
2020,Alabama,38,Female,100,0.0
2020,Alabama,57,Male,100,1.0
2020,Alabama,22,Female,100,1.0
2020,Alabama,24,Male,100,0.0
2020,Alabama,60,Female,100,0.0
2020,Alabama,59,Male,100,0.0
2020,Alabama,20,Male,100,0.0
2020,Alabama,46,Female,100,0.0
2020,Alabama,39,Male,100,1.0
2020,Alabama,21,Female,100,0.0
2020,Alabama,30,Female,100,0.0
2020,Alabama,32,Male,100,0.0
2020,Alabama,22,Male,100,1.0
2020,Alabama,26,Male,100,1.0
2020,Alabama,65,Female,100,0.0
2020,Alabama,45,Female,100,0.0
2020,Alabama,25,Male,100,0.0
2020,Alabama,41,Female,100,1.0
2020,Alabama,28,Male,200,1.0
2020,Alabama,40,Male,200,0.0
2020,Alabama,34,Female,200,0.0
2020,Alabama,44,Female,100,1.0
2020,Alabama,77,Female,100,1.0
2020,Alabama,26,Female,100,0.0
2020,Alabama,18,Male,100,0.0
2020,Alabama,70,Female,100,1.0
2020,Alabama,64,Male,200,1.0
2020,Alabama,43,Female,100,0.0
2020,Alaska,65,Male,300,1.0
2020,Alaska,26,Male,100,0.0
